;;;;;;
;Наименование и адрес;АПО;ПнД;Cтом;Cтац;СМП
;"""Новая больница"" МО"" ООО 620109, Свердловская обл, Екатеринбург г, Заводская ул, дом № 29;";АПО;ПНД;СП;Стац;
;"""Медицинские технологии"" (""Здоровье 365"") АО 620075, Свердловская обл, Екатеринбург г, Кузнечная ул, дом № 83;";АПО;ПНД;;Стац;
;"""Студия-С"" ООО 620010, Свердловская обл, Екатеринбург г, Орденоносцев ул, дом № 8;";;;СС;;
;"""ПРИОР-М КС на Готвальда"" ООО 620107, Свердловская обл, Екатеринбург г, Готвальда ул, дом № 6, корпус 1;";;;СС;;
;"""Клиника Ставко"" ООО 620049, Свердловская обл, Екатеринбург г, Первомайская ул, дом № 118;";АПО;;;;
;"""ПЕАН"" ООО 620026, Свердловская обл, Екатеринбург г, Декабристов ул, дом № 51;";АПО;ПНД;;;
;"""ВИЗАВИ СП г. Екатеринбург"" ООО 620075, Свердловская обл, Екатеринбург г, Белинского ул, дом № 32;";;;СС;;
;"""Колибри"" ООО 620014, Свердловская обл, Екатеринбург г, Радищева ул, дом № 10;";;;СС;;
;"""Премьер Дент"" ООО 620014, Свердловская обл, Екатеринбург г, Попова ул, дом № 33А;";;;СС;;
;"""Парацельс"" МК"" (стоматология г. Екатеринбург) ООО 620131, Свердловская обл, Екатеринбург г, Крауля ул, дом № 76;";;;СС;;
;"""Олькор-Медик"" (""Академический СЦ"") ООО 620016, Свердловская обл, Екатеринбург г, Вильгельма де Геннина ул, дом № 34, кв.218;";;;СС;;
;"""Приор-М"" СК на Малышева ООО 620075, Свердловская обл, Екатеринбург г, Малышева ул, дом № 84;";;;СС;;
;"""Дэнт-Элит"" ООО 620089, Свердловская обл, Екатеринбург г, Тбилисский б-р, дом № 13;";;;СС;;
;"""Дентал-сервис+"" ООО 620026, Свердловская обл, Екатеринбург г, Тверитина ул, дом № 38, корпус 2;";;;СС;;
;"""Гелиосдент"" ООО 620012, Свердловская обл, Екатеринбург г, Победы ул, дом № 7;";;;СС;;
;"""ГБ № 41-Семейная медицина"" (""Династия"") ООО 620073, Свердловская обл, Екатеринбург г, Академика Шварца ул, дом № 14;";АПО;;;;
;"""Эверест-Дент"" ООО 620144, Свердловская обл, Екатеринбург г, Фрунзе ул, дом № 102А;";;;СС;;
;"""Кари"" ООО 620007, Свердловская обл, Екатеринбург г, Латвийская ул, дом № 14;";АПО;;СП;;
;"""Гелиос"" МК г.Екатеринбург"" ООО 620144, Свердловская обл, Екатеринбург г, Шейнкмана ул, дом № 132;";;;СС;;
;"""Дента-С г. Екатеринбург"" ООО 620000, Свердловская обл, Екатеринбург г, Первомайская ул, дом № 82/12, кв.пом.79-82;";;;СС;;
