;;;;;;
;Наименование и адрес;АПО;ПнД;Cтом;Cтац;СМП
;"""ГБ № 41"" ООО 620043, Свердловская обл, Екатеринбург г, Начдива Васильева ул, дом № 25;";АПО;;;Стац;
;"""СОКБ №1"" ГБУЗ СО"" 620102, Свердловская обл, Екатеринбург г, Волгоградская ул, дом № 185;";АПО;;;Стац;
;"""СП № 1 г. Екатеринбург"" МАУ"" 620075, Свердловская обл, Екатеринбург г, Пушкина ул, дом № 1;";;;СС;;
;"""Дорожная больница на ст. Свердловск-Пассажирский ""РЖД"" НУЗ 620107, Свердловская обл, Екатеринбург г, Гражданская ул, дом № 7;";АПО;;СП;Стац;
;"""Уралтрансмаш"" АО 620027, Свердловская обл, Екатеринбург г, Короленко ул, дом № 7;";АПО;ПНД;СП;Стац;
;"""ГБ № 36 Травматологическая"" МБУ"" 620007, Свердловская обл, Екатеринбург г, Центральная ул, дом № 2;";АПО;;СП;Стац;
;"""Стоматология доктора Кашина"" ООО 620075, Свердловская обл, Екатеринбург г, Красноармейская ул, дом № 10, кв.701;";;;СС;;
;"""ГКБ № 40 г. Екатеринбург""МАУЗ"" 620102, Свердловская обл, Екатеринбург г, Волгоградская ул, дом № 189;";АПО;;;Стац;
;"""Объединение ""Стоматология"" АНО 620102, Свердловская обл, Екатеринбург г, Белореченская ул, дом № 26;
620135, Свердловская обл, Екатеринбург г, Фрезеровщиков ул, дом № 28";;;СС;;
;"""Дорожная стоматологическая поликлиника на ст. Свердловск-Сортировочный ОАО ""РЖД"" НУЗ 620050, Свердловская обл, Екатеринбург г, Таватуйская ул, дом № 21;";;;СС;;
;"""Уральский институт кардиологии"" ГБУЗ СО 620000, Свердловская обл, Екатеринбург г, 8 Марта ул, дом № 78, корпус А;";АПО;;;Стац;
;"""ПрофМед Медицинский Центр"" ООО 620041, Свердловская обл, Екатеринбург г, Блюхера ул, дом № 11;";АПО;;;;
;"""Медлайн"" г. Екатеринбург"" ООО 620010, Свердловская обл, Екатеринбург г, Грибоедова ул, дом № 32;";АПО;;;;
;"""ЛОР клиника"" г. Екатеринбург ООО 620130, Свердловская обл, Екатеринбург г, Юлиуса Фучика ул, дом № 3;";АПО;;;;
;"""Северная Казна Мед"" ООО 620026, Свердловская обл, Екатеринбург г, Розы Люксембург ул, дом № 67Б, корпус 3;";АПО;ПНД;;;
;"""СП № 12 г. Екатеринбург""МАУ"" 620050, Свердловская обл, Екатеринбург г, Техническая ул, дом № 28;";;;СС;;
;"""Центр лечения боли (Клиника Герасимова)"" ООО 620000, Свердловская обл, Екатеринбург г, Восточная ул, дом № 21Б;";АПО;;;;
;"""Шанс"" МЦ на Уральских Рабочих ООО 620042, Свердловская обл, Екатеринбург г, Уральских рабочих ул, дом № 55Б;";АПО;;СП;;
;"""ЦГКБ № 24"" МАУ 620085, Свердловская обл, Екатеринбург г, Рижский пер, дом № 16;";АПО;;;Стац;
;"""УрНИИДВиИ"" ГБУ СО 620023, Свердловская обл, Екатеринбург г, Щербакова ул, дом № 8;";АПО;;;;
;"""Диапекс"" ООО 620010, Свердловская обл, Екатеринбург г, Дагестанская ул, дом № 10;";;;СС;;
;"""Белая Ладья на ул. Комсомольская"" ООО 620049, Свердловская обл, Екатеринбург г, Комсомольская ул, дом № 37;";;;СС;;
;"""Поликлиника УрО РАН"" ФГБУЗ 620016, Свердловская обл, Екатеринбург г, Краснолесья ул, дом № 14, корпус 1;";;;СС;;
;"""Лотос-ЕКБ"" ООО 620014, Свердловская обл, Екатеринбург г, Антона Валека ул, дом № 13;";;;СС;;
;"""МНТК ""Микрохирургия глаза"" АО 620149, Свердловская обл, Екатеринбург г, Академика Бардина ул, дом № 4А;";АПО;;;Стац;
;"""СП № 9 г. Екатеринбург"" ООО 620010, Свердловская обл, Екатеринбург г, Академика Губкина ул, дом № 76;";;;СС;;
;"""ОРИОН ДЕНТ"" ООО 620016, Свердловская обл, Екатеринбург г, Вильгельма де Геннина ул, дом № 33;";;;СС;;
;"""Практическая стоматология"" ООО 620041, Свердловская обл, Екатеринбург г, Уральская ул, дом № 60;";;;СС;;
;"""Изодент 4Д"" ООО 620014, Свердловская обл, Екатеринбург г, Радищева ул, дом № 31, кв.1-19;";;;СС;;
;"""Династия ""Стоматологическая клиника"" ООО 620142, Свердловская обл, Екатеринбург г, 8 Марта ул, дом № 45;";;;СС;;
;"""ЧТПЗ Медицинский центр"" отделение Первоуральское"" ЗАО 623100, Свердловская обл, Первоуральск г, Торговая ул, дом № 1;";АПО;;СП;;
;"""Ухо.Горло.Нос"" Клиника"" ООО 620089, Свердловская обл, Екатеринбург г, Луганская ул, дом № 2;";АПО;;;;
;"""Центр медицины катастроф""ГБУЗ СО"" 620000, Свердловская обл, Екатеринбург г, Малопрудная ул, дом № 6;";;;;;СМП
;"""Дентал-практик"" ООО 620041, Свердловская обл, Екатеринбург г, Красина ул, дом № 5;";;;СС;;
;"""Бонум"" НПЦ""ГУЗ СО ДКБВЛ"" 620149, Свердловская обл, Екатеринбург г, Академика Бардина ул, дом № 9А;";АПО;;СП;;
